,,,,,,,,,Features,,,,,,,,,,
59,Golden Oriole,Oriolus kundoo,Oriolidae,Oriole,Least Concern (LC),Schedule-II,Partially Migratory,সোনা বউ (Sona Bou),24-25 cm,"Golden Oriole is a medium-sized bird known for its brilliant golden-yellow plumage, contrasted by black wings and an eye-stripe. Bill is distinctive fleshy pink or dark pink color & iris is bright red color for both sexes.  These birds are insectivores and frugivores, feeding on fruits and insects.","Bright golden-yellow with velvety black wings and outer tail feathers, a prominent black eye-stripe, and a prominent yellow carpal patch on the folded wing. ","A duller, streaked yellowish-green, with brownish wings and a yellowish tail. ",,"The Indian Golden Oriole breeds in Northern and Central India and Central Asia, arriving in April-May and departing in August-September. In winter, these populations migrate to Southern India. They are also found as breeding visitors in parts of North India and Central Asia and are residents in Central and parts of Northern India, with local movements dictated by food availability. ",,Monotype,Black-hooded Oriole,,
60,Great Cormorant,Phalacrocorax carbo,Phalacrocoracidae,Cormorant,Least Concern (LC),Schedule-II,Partially Migratory,পানকৌড়ি (Pānkauri),80-100 cm,"The Great Cormorant is a large, stocky, black waterbird with a thick neck and a hooked beak, known for its glossy, black plumage that can have a greenish-blue sheen. Adults are distinguished by a white throat and cheek patch, with breeding adults developing white thigh patches and plumes on their heads. They have a wide global distribution, feeding mainly on fish by diving and often perching with wings outstretched to dry their non-waterproof feathers","Males can be 5-10% larger in linear dimensions and up to 20% heavier than females. Males also tend to have a deeper and longer bill, which may help them handle larger prey. ",Females are typically smaller.,,"Great Cormorant is found throughout India, inhabiting aquatic ecosystems like rivers, lakes, and marshlands across various states. While resident in many areas, populations also migrate south to Northeast India in the winter, supplementing local populations.",,"Phalacrocorax carbo carbo
Phalacrocorax carbo novaehollandiae
Phalacrocorax carbo sinensis
Phalacrocorax carbo hanedae 
Phalacrocorax carbo maroccanus
Phalacrocorax carbo lucidus","Little Cormorant
Indian Cormorant",,
61,Great Egret,Ardea alba,Ardeidae,Egret,Least Concern (LC),Schedule-II,Resident,বড় বক (Boro Bok),80-104 cm,"The Great Egret is a large, all-white wading bird with distinctive long black legs and feet, a long yellow bill, and a long, s-curved neck. Adults can reach about 1 meter in height with a 1.5-meter wingspan, weighing around 1 kg. In the breeding season, the bill may darken and the bird grows long, ornamental plumes on its back.","Males are typically larger and heavier than females, although the difference is subtle. ",Females are typically smaller.,,The Great Egret has a resident breeding population and can be found in allover Indian Subcontinent.,,"Ardea alba alba
Ardea alba melanorhynchos
Ardea alba egretta
Ardea alba modesta","Little Egret 
Cattle Egret
Intermediate Egret",,
62,Green Bee-eater,Merops orientalis,Meropidae,Bee-eater,Least Concern (LC),Schedule-II,Resident with local dispersal,সবুজ বাঁশপাতি (Shobuj Bashpati) or সবুজ সুইচোরা (Shobuj Shuichora),16-18 cm,"Green Bee-eater is a small, slender bird with bright green plumage, blood-red eyes, a black eye stripe, and a slightly curved black bill. It also features a rufous or rusty crown and neck, a bluish throat, and a black trailing edge on its wings. Adults may have long, central tail streamers, which are absent in juveniles. ","Males generally possess longer, more prominent tail streamers (elongated central tail feathers) than females, which have shorter streamers on average.","Females tend to have a paler or duller throat color compared to the brighter hues seen in males. Both sexes have a black gorget, but it is typically narrower in females.",,"Green Bee-eater is distributed widely across most of India, excluding the northwest and northeast regions, though the subspecies M. o. orientalis is found in the majority of the country. A different subspecies, M. o. beludschicus, is specifically found in northwest India (including states like Rajasthan and Haryana), while another subspecies, M. o. ferrugeiceps, is located in northeast India. ",,"Merops orientalis beludschicus
Merops orientalis orientalis
Merops orientalis ceylonicus
Merops orientalis ferrugeiceps",,,
63,Grey Heron,Ardea cinerea,Ardeidae,Heron,Least Concern (LC),Schedule-II,Resident,ধুপনি বক (Dhuponi Bok),84-102 cm,"The Grey Heron is a large, tall wading bird with a grey body, long legs, and a distinctive black stripe from its yellow eye to a dangling crest. Adults are mostly ashy-grey with a white head and neck, while immatures are duller with a dark grey head and a small crest. It features a yellow beak, a black shoulder patch, and long, spindly legs that it tucks close to its body during flight.",Males are generally larger and heavier than females. ,Females are generallly smaller.,,"The Grey Heron is a widespread resident across India, inhabiting wetlands and other watery environments, except for the high-altitude Himalayas. While generally resident, it is also a winter visitor to certain areas, with breeding colonies recorded in states like Rajasthan, Tamil Nadu, Maharashtra, and even Kerala. ",,"Ardea cinerea cinerea
Ardea cinerea jouyi
Ardea cinerea firasa
Ardea cinerea monicae",,,
64,Grey-headed Swamphen,Porphyrio poliocephalus,Rallidae,"rails, crakes, coots, and gallinules",Least Concern (LC),Schedule-II,Resident,কায়েম ,38-50 cm,"Grey-headed Swamphen is a large, strikingly colored bird with a vibrant blue-purple body, a distinct grey head, bright red legs and feet, and a red frontal shield on its blue-green beak. It has long toes and a plump, chicken-sized body. Found in Indian wetlands like marshes and swamps, it is often seen in small groups feeding on aquatic plants and sometimes small animals. ",The male has a primarily gray head and is generally larger and heavier in size compared to the female.,"The female has a gray-blue head, giving her a slightly different tone than the male. She is also smaller and lighter",,Grey-headed Swamphen is widely distributed across India.,,"Porphyrio poliocephalus caspius
Porphyrio poliocephalus seistanicus
Porphyrio poliocephalus poliocephalus
Porphyrio poliocephalus viridis",,,
65,House Crow,Corvus splendens,Corvidae,Crow,Least Concern (LC),Schedule-IV,Resident,কাক (Ghoroya Kak),40–42 cm,"A medium-sized crow with glossy black head, throat, wings, and tail, contrasted by grey neck and breast. It is highly adaptable, thriving in urban, rural, and coastal habitats. Known for its intelligence, opportunistic feeding, and close association with humans. Diet includes scraps, insects, fruits, and small animals.",Males are glossy black with grey neck and breast; plumage is similar to females.,Females resemble males; juveniles are duller with browner tones.,Harsh “caw-caw” calls; varied vocalizations used in social communication.,"Native to South Asia, including India, Bangladesh, Nepal, and Sri Lanka. Introduced populations thrive in East Africa, the Middle East, and Southeast Asia. Common in towns, villages, and coastal areas.",—,"C. s. splendens, C. s. protegatus, C. s. zugmayeri, C. s. insolens","Large-billed Crow (Corvus macrorhynchos), Jungle Crow (Corvus levaillantii)",,
66,Indian Roller,Coracias benghalensis,Coraciidae,Roller,Least Concern (LC),Schedule-IV,Resident,নীলকণ্ঠ (Nilkantha),30–34 cm,"A striking bird with bright blue wings, tail, and underparts, contrasted by brownish back and breast. Famous for its acrobatic flight displays during breeding season. It feeds on insects, small reptiles, and amphibians, often swooping down from perches. Widely admired for its vivid plumage and cultural significance in India.","Males have vivid blue wings and tail, brown breast, and lilac throat; plumage is similar to females.",Females resemble males; juveniles are duller with less intense blue coloration.,Harsh “chack-chack” calls; also produces metallic rattling notes.,"Found across the Indian subcontinent, including India, Bangladesh, Nepal, Sri Lanka, and Myanmar. Common in open fields, farmlands, and roadside trees.",—,"C. b. benghalensis, C. b. indicus","European Roller (Coracias garrulus), Dollarbird (Eurystomus orientalis)",,
67,Indian Shag,Phalacrocorax fuscicollis,Phalacrocoracidae,Cormorant,Least Concern (LC),Schedule-IV,Resident (with local movements),জলকাক ,65–75 cm,"A large, slender cormorant with glossy black plumage, long neck, and hooked bill. In breeding plumage, it shows white patches on the face and thighs. It is an expert diver, feeding mainly on fish, and is often seen swimming low in water or perched with wings spread to dry.",Males are glossy black with breeding white patches; plumage similar to females.,Females resemble males; juveniles are brownish with paler underparts.,"Harsh grunts and croaks, especially in colonies.","Found across the Indian subcontinent, including India, Bangladesh, Nepal, and Sri Lanka. Prefers rivers, lakes, reservoirs, and coastal waters.",—,Monotypic (no widely recognized subspecies).,"Great Cormorant (Phalacrocorax carbo), Little Cormorant (Phalacrocorax niger)",,
68,Indian Silverbill (White-throated Munia),Euodice malabarica,Estrildidae,Finch,Least Concern (LC),Schedule-IV,Resident,সরমুনিয়া ,11–12 cm,"A small, sociable finch with sandy-brown upperparts, whitish underparts, and a short, thick silver-grey bill. It is often seen in flocks, feeding on grass seeds and grains. Nests are built in shrubs or trees, sometimes communally. Adapted to dry scrub, grasslands, and urban areas.","Males and females are alike, both showing sandy-brown plumage and silver-grey bill.",Females resemble males; juveniles are duller with buffy underparts and less distinct throat coloration.,Soft twittering and high-pitched “tsit-tsit” notes; calls are social and continuous in flocks.,"Widely distributed across South Asia, including India, Bangladesh, Nepal, Pakistan, and Sri Lanka. Also found in parts of the Middle East. Prefers dry scrub, grasslands, agricultural fields, and urban gardens.",—,Monotypic (no widely recognized subspecies).,"Scaly-breasted Munia (Lonchura punctulata), White-rumped Munia (Lonchura striata)",,
69,Indian Cormorant,Phalacrocorax fuscicollis,Phalacrocoracidae,Cormorant,Least Concern (LC),Schedule-II,Sedentary,পানকৌড়ি (Pankouri),63 cm,"The Indian Cormorant or Indian Shag, is a medium-sized, predominantly black waterbird with a slender body and a long neck, distinguished by its blue-green eyes, blue-green glossy feathers, and a small, sloping forehead with a long, narrow bill hooked at the tip. During the breeding season, it has a distinctive white tuft on its ear-coverts, contrasting with its black head and body.","Males are typically larger and heavier than females, although the difference is subtle. ",Females are typically smaller.,,"The Indian Cormorant has a widespread distribution throughout India, particularly in peninsular India, along the Indian Subcontinent, and in northern states.",,Monotype,"Little Cormorant
Great Cormorant",,
70,Indian Paradise Flycatcher,Terpsiphone paradisi,Monarchidae,Flycatcher,Least Concern (LC),Schedule-II,Partially Migratory,দুধরাজ (Doodhraj),19-22 cm,"The Asian Paradise-Flycatcher is a medium-sized, insectivorous bird known for the adult male's long, ribbon-like tail streamers and two color morphs—a snowy white morph and a cinnamon-colored morph, both with a glossy black crested head. Females are smaller, lack the long tail, and are generally chestnut on the back and greyish-white below. They are found in wooded country and shady groves, hunting insects by sallying from prominent perches in the air.","The male Asian Paradise-flycatcher is striking in appearance, with extremely long, ribbon-like central tail feathers that can extend to twice the length of its body. It occurs in two color morphs—either entirely white with a black head or rufous (reddish-brown) with a black head and tail, depending on the region and subspecies. Its head is glossy black and crested, often enhanced by a delicate blue ring around the eye.","The female Asian Paradise-flycatcher has a much shorter tail, lacking the long, flowing streamers of the male. She is generally rufous on the upperparts, with a darker and less glossy head compared to the male’s crest. Her throat is marked by a distinctive greyish patch, making her more subdued in appearance.",,"The Indian Paradise Flycatcher is found widespread throughout India, from the Himalayan foothills to the southern peninsula. It is a migratory species, with populations from northern India moving south for winter, while some southern birds are year-round residents",,"Terpsiphone paradisi leucogaster
Terpsiphone paradisi paradisi
Terpsiphone paradisi ceylonensis",,,
71,Indian Pond Heron,Ardeola grayii,Ardeidae,Heron,Least Concern (LC),Schedule-II,Sedentary,কোচ বক ,42-45 cm,"The Indian Pond Heron is a small, stocky bird with brownish plumage and white wings, known for its remarkable camouflage and patient hunting of fish and insects in shallow water. In its breeding plumage, it features a yellowish-brown head and neck, a reddish-brown back, and a white belly.",Sexual Dimorphism,Sexual Dimorphism,,"The Indian Pond Heron is widely distributed across the Indian subcontinent, including all Indian states",,Monotype,Black-crowned Night Heron,,
72,Intermediate Egret,Ardea intermedia,Ardeidae,Egret,Least Concern (LC),Schedule-II,Migratory,Maijhla Bok (মাঝলা বক) / Korche Bok (কোর্চে বক),65-72 cm,"The Intermediate Egret is a medium-sized, all-white bird between the size of the Great Egret and smaller egrets like the Cattle Egret, with a thick neck and stocky body. Key identification features include its proportions—a relatively short bill and legs compared to its large body—and its yellow bill, which turns black in breeding plumage. During breeding season, it develops long plumes on its back and breast. ","Males are typically larger and heavier than females, although the difference is subtle. ",Females are typically smaller.,,"The Intermediate Egret, also known as the Medium Egret, is distributed across the entire Indian subcontinent",,Monotype,"Little Egret 
Cattle Egret
Great Egret",,
73,Jungle Babbler,Argya striata,Leiothrichidae,Babbler,Least Concern (LC),Schedule-IV,Resident,ছাতারে ,25–27 cm,"A noisy, gregarious bird often seen in groups of 6–10, earning it the nickname “Seven Sisters.” It has dusty-brown plumage, pale throat, and long tail. Known for its constant chatter and cooperative behavior within flocks. Feeds on insects, grains, and fruits, foraging mostly on the ground.",Males are dusty-brown with pale throat and yellow bill; plumage similar to females.,Females resemble males; juveniles are duller with shorter tails and less distinct throat markings.,"Harsh, chattering “cha-cha-cha” and “kak-kak” notes; continuous noisy calls in groups.","Widely distributed across the Indian subcontinent, including India, Bangladesh, Nepal, and Sri Lanka. Common in gardens, scrublands, and villages.",—,"A. s. striata, A. s. grisea, A. s. orientalis","Large Grey Babbler (Argya malcolmi), Common Babbler (Argya caudata)",,
74,Jacobin Cuckoo,Clamator jacobinus,,Cuckoo,Least Concern (LC),Schedule IV,Migratory,চাতক (Chātāk),33-38 cm,"The Jacobin Cuckoo, also called the Pied Cuckoo, is a medium-sized, black and white cuckoo with a distinctive crest, found in Africa and Asia. It's a brood parasite that lays eggs in the nests of other birds, such as babblers and bulbuls, and its arrival in India is associated with the monsoon rains. The name ""Jacobin"" refers to its black and white plumage, which resembles the robes of Dominican monks in France.","While the Jacobin Cuckoo's male and female are almost indistinguishable to the naked eye, subtle differences in behavior, such as the male's more prominent calls during breeding, are the best indicators of sex.",Females are generally smaller than males.,,"across much of India, particularly in the southern, central, and northern regions, with southern populations being resident year-round and northern populations migrating to Africa for winter.",,"Clamator jacobinus pica
Clamator jacobinus serratus 
Clamator jacobinus jacobinus",,,
75,Little Swift,Apus affinis,Apodidae,Swift,Least Concern (LC),Schedule IV,Resident with local movements,মোতি আবাবিল ,12–13 cm,"The Little Swift is a small, stocky swift with short square tail, glossy black upperparts, and contrasting white rump patch. It is highly aerial, spending most of its life in flight, feeding on insects caught mid-air. It nests colonially under bridges, buildings, and cliffs, constructing half-cup nests of feathers and saliva.",Males and females are alike; both have glossy black plumage with white rump patch.,Females are indistinguishable from males; no sexual dimorphism.,"High-pitched twittering and squeaky calls, often given in flight.","Widely distributed across Africa, South Asia, and Southeast Asia. In India, common in towns, villages, and near water bodies. Abundant in West Bengal, nesting under bridges and urban structures.",,"Several subspecies, including A. a. affinis (India), A. a. galilejensis (Middle East).","House Swift (Apus nipalensis) – slimmer, longer tail; Pallid Swift (Apus pallidus).",Highly adapted to urban environments; nests in colonies; spends most of life airborne.,"Images show small swift with white rump patch, flying in flocks near buildings."
76,Little Ringed Plover,Charadrius dubius,Charadriidae,Shorebird,Least Concern (LC),Schedule IV,Migratory,জিরিয়া,15–18 cm,"The Little Ringed Plover is a delicately built small plover with brown upperparts, white underparts, a black breast band, and a black mask with a bright yellow eye-ring. It has dull pinkish legs and a short dark bill. It breeds on stony substrates near freshwater such as gravel pits, riverbanks, and lakeshores, and winters in South Asia. It feeds mainly on insects and worms in muddy areas.",Males and females look alike; males may show slightly bolder breast bands during breeding.,"Females are similar to males, sometimes with slightly less distinct markings.","A clipped “peu” call, distinct from the Common Ringed Plover.","Breeds across Europe and Asia on gravelly riverbanks and lakeshores. Winters in Africa and South Asia, including India, Bangladesh, and Sri Lanka. Commonly seen in wetlands and river edges of West Bengal during migration.",,Monotypic (no recognized subspecies).,"Common Ringed Plover (Charadrius hiaticula) – larger, lacks yellow eye-ring.",Nests on bare ground with little vegetation; both sexes incubate eggs. Migratory arrival in Bengal coincides with winter.,Images show small plover with yellow eye-ring and black breast band on gravelly riverbanks.
77,Lineated Barbet,Psilopogon lineatus,Megalaimidae,Barbet,Least Concern (LC),Schedule IV,Resident,রেখা বসন্ত ,27–30 cm,"The Lineated Barbet is a luminous green barbet with a streaked gray-brown head, flesh-pink bill, and orange bare skin around the eye giving a monocled look. It inhabits deciduous forests, forest edges, orchards, and large urban parks with mature fruiting trees. A frugivore, it feeds mainly on figs and other fruits, nesting in tree cavities.",Males and females look alike; both have streaked heads and green plumage.,Females are similar to males; sexual dimorphism is minimal.,Primary territorial song is a repetitive “woo-kohw”; also gives hooting trills.,"Found from the Terai of Nepal and northern India through Bangladesh, Brahmaputra basin, Myanmar, Thailand, Laos, Cambodia, and Vietnam. Common in West Bengal’s orchards, banyan groves, and urban parks.",,Monotypic (no recognized subspecies).,"Great Barbet (Psilopogon virens), Brown-headed Barbet (Psilopogon zeylanicus).",Adapts well to modified landscapes if large fruiting trees remain; breeding requires soft or dead wood for cavity excavation.,"Images show green body, streaked brown head, and pinkish bill perched on fruiting trees."
78,Lesser Whistling-Duck,Dendrocygna javanica,Anatidae,Whistling-Duck,Least Concern (LC),Schedule IV,Resident with local movements,সরাল ,41–45 cm; wingspan ~85 cm; weight 500–900 g,"The Lesser Whistling-Duck is a small, chestnut-brown duck with a warm brown body, darker crown, pale face, chestnut rump, broad dark wings, and a yellow-orange eye-ring. It has a dark gray bill and legs and is known for its loud, wheezy two-note whistle. It often gathers in large flocks around wetlands, paddy fields, and lakes, and is unique among ducks for its ability to perch and nest in tree hollows.",Males and females look alike; males may appear slightly brighter in plumage but differences are minimal.,"Females are indistinguishable from males, sometimes showing slightly duller tones.","Loud, wheezy two-note whistle, often described as “seasick-seasick.”","Widespread across the Indian subcontinent, Sri Lanka, Nepal, Bangladesh, Myanmar, Thailand, Malaysia, Indonesia, and nearby islands including the Andamans, Nicobars, and Maldives. Common in wetlands and agricultural landscapes of West Bengal.",,Monotypic (no recognized subspecies).,"Fulvous Whistling-Duck (Dendrocygna bicolor) – larger, creamy-white rump, higher-pitched whistle.","A nocturnal feeder that rests in flocks during the day. Breeding coincides with monsoon rains, with clutch sizes of 7–12 eggs.","Images typically show flocks perched on trees or floating in wetlands, with chestnut plumage and yellow eye-ring."
79,Large-billed Crow,Corvus macrorhynchos,Corvidae,Crow,Least Concern (LC),Schedule-IV,Resident,দাঁড় কাক ,46–59 cm,"A large, robust crow with a heavy, thick bill and glossy black plumage. It is highly adaptable, found in forests, hills, villages, and cities. Known for its intelligence, opportunistic feeding, and loud calls. Diet includes carrion, insects, fruits, and human scraps.",Males are glossy black with a massive bill; plumage similar to females.,Females resemble males; juveniles are duller with browner tones and less sheen.,"Loud, harsh “caw-caw” calls, deeper and more guttural than House Crow.","Widely distributed across South Asia, Southeast Asia, and East Asia, including India, Bangladesh, Nepal, Sri Lanka, Myanmar, Thailand, and Japan. Found in forests, hills, villages, and urban areas.",—,"C. m. macrorhynchos, C. m. japonensis, C. m. tibetosinensis, C. m. philippinus","House Crow (Corvus splendens), Jungle Crow (Corvus levaillantii)",,
80,Little Cormorant,Microcarbo niger,Phalacrocoracidae,Cormorant,Least Concern (LC),Schedule-II,Resident,ছোট পানকৌড়ি (Choto Pankouri),51-55 cm,"The Little Cormorant is a small, entirely black waterbird with a long neck and slender, hooked bill. While non-breeding adults appear duller and brownish with a distinct white throat patch, the breeding adult is glossy black. This species is a common resident across South and Southeast Asia, diving to catch fish in various aquatic habitats, and often roosts and nests colonially in trees near water bodies","Males are typically larger and heavier than females, although the difference is subtle. ",Females are typically smaller.,,The Little Cormorant is a resident species found across the entire Indian Subcontinent.,,Monotype,"Great Cormorant
Indian Cormorant",,
81,Little Egret ,Egretta garzetta,Ardeidae,Egret,Least Concern (LC),Schedule-II,"Generally Resident, Partially Migrant",ছোট কোর্চে বক (Choto Bok) ,55-65 cm,"The Little Egret is a small, graceful, all-white heron with a slender black bill, black legs, and bright yellow feet. In the breeding season, the adult develops two long, fine plumes on its nape, as well as plumes on its chest and back. It is an aquatic bird that hunts in shallow water, preying on small fish and other aquatic invertebrates. Little Egrets are generally silent but produce croaking sounds at colonies and a harsh alarm call when disturbed.","Males may have, on average, longer ornamental plumes during the breeding season. ",Females are typically smaller.,,"The Little Egret is a resident and winter migrant, found throughout Peninsular India in wetlands, rivers, and paddy fields",,"Egretta garzetta garzetta
Egretta garzetta immaculata
Egretta garzetta dimorpha","Cattle Egret
Great Egret
Intermediate Egret",,
82,Little Grebe,Tachybaptus ruficollis,Podicipedidae,Grebe,Least Concern (LC),Schedule-II,Generally Resident,ছোট ডুবুরি (Choto Duburi),23–29 cm,"The Little Grebe or dabchick, is a small, compact diving bird, characterized by a rounded head, puffy rear end, and a pointed black bill with a distinctive bright yellow gape. In summer breeding plumage, it displays a rich, dark rusty color on its head, neck, and flanks. In non-breeding and juvenile plumage, its color becomes a duller, dingy brownish-grey overall, with a dark cap and dirty-brown flanks.  ",Males are comparatively larger than females.,Females have duller plumage compared to the more vibrant colors of the male,,"Breeding sporadically across northern India, including Ladakh, Kashmir, the Western Gangetic Plains, and parts of Rajasthan, Gujarat, and Andhra Pradesh. It is found non-breeding throughout much of North India, from Kashmir to the Indo-Gangetic and Brahmaputra plains, and also extends to states like Odisha, Chhattisgarh, Madhya Pradesh, Maharashtra, and even some parts of Tamil Nadu. ",,"Tachybaptus ruficollis ruficollis
Tachybaptus ruficollis iraquensis
Tachybaptus ruficollis capensis
Tachybaptus ruficollis albescens
Tachybaptus ruficollis poggei
Tachybaptus ruficollis philippensis
Tachybaptus ruficollis cotabato
Tachybaptus ruficollis vulcanorum
Tachybaptus ruficollis tricolor
Tachybaptus ruficollis collaris ",,,
83,Long-tailed Shrike,Lanius schach,Laniidae,Shrike,Least Concern (LC),Schedule-II,Sedentary,মেটে লাটোরা ,25 cm,"Long-tailed Shrike is a medium-sized, carnivorous bird known for its striking appearance, bold demeanor, and butcherbird habit of impaling prey on thorns. The bird has a pearl-gray upper back, a black facial mask extending from the forehead through the eyes, and white underparts. The flanks have a patch of rufous or orange, and the tail has rufous edges. Its bill and legs are dark, nearly black.","Females may exhibit faint barring on their flanks and sides, a marking typically absent in males. ",The most consistent difference is that the female's legs are often a slightly browner shade compared to the male's. ,,"Long-tailed Shrike is widespread across many Indian states, with distribution varying by subspecies, occurring as a resident and winter visitor. L. s. tricolor subspecies is regularly recorded in Kumaon, the Gangetic Plains, Arunachal Pradesh, and as far south as West Bengal, Jharkhand, Chhattisgarh, and Orissa. ",,"Lanius schach erythronotus
Lanius schach caniceps
Lanius schach schach
Lanius schach tricolor
Lanius schach longicaudatus
Lanius schach bentet
Lanius schach nasutus
Lanius schach suluensis
Lanius schach stresemanni",,,
84,Oriental Darter,Anhinga melanogaster,Anhingidae,Waterbird,Near Threatened (NT),Schedule IV,Resident with local movements,গয়ার ,85–97 cm; wingspan up to 120 cm,"The Oriental Darter, also called the Snakebird, is a large waterbird with a slender body, long neck, and sharp pointed bill. Its neck resembles a snake when swimming, as the body remains submerged. It has glossy black wings with silvery streaks and a brownish neck. It feeds mainly on fish, spearing them underwater with its sharp bill. It nests colonially in trees near water.","Males are slightly larger, with darker plumage and more pronounced silvery streaks on wings.","Females are similar but slightly smaller, with duller plumage.","Harsh croaking and grunting calls, often heard near nesting colonies.","Found across South Asia and Southeast Asia, including India, Bangladesh, Sri Lanka, Myanmar, Thailand, Cambodia, and Indonesia. In West Bengal, common in large wetlands, rivers, and lakes.",,Monotypic (no recognized subspecies).,Cormorants (Phalacrocorax spp.) – differ by shorter neck and hooked bill.,Often seen drying wings with outstretched posture; vulnerable to wetland loss and pollution. Breeds in colonies with cormorants and herons.,Images show long-necked bird with snake-like swimming posture and wings spread for drying.
85,Oriental Honey-buzzard,Pernis ptilorhynchus,Accipitridae,Raptor,Least Concern (LC),Schedule IV,Migratory,মধু বাজ (Madhu Baj),57–60 cm; wingspan 135–150 cm,"The Oriental Honey-buzzard is a medium-sized raptor with a long neck, small head, and broad wings. It is specialized for feeding on the larvae of bees and wasps, with scale-like feathers on the head to protect against stings. Plumage is highly variable, ranging from brown to grey morphs, often with barred underparts. It soars gracefully and is often mistaken for kites or hawks.","Males generally have smaller heads, narrower wings, and more distinct barring on the underparts.","Females are larger, with broader wings and less distinct barring; often darker overall.","A thin, high-pitched whistle; also gives mewing calls.","Widely distributed across South and Southeast Asia, including India, Nepal, Bangladesh, Sri Lanka, Myanmar, Thailand, and Indonesia. In West Bengal, seen in forests, wooded areas, and during migration across the Indo-Gangetic plains.",,"Several subspecies, including P. p. ptilorhynchus (India), P. p. orientalis (East Asia).","Crested Honey-buzzard (Pernis celebensis), Black Kite (Milvus migrans).",Known for its mimicry of other raptors to avoid aggression; feeds mainly on bee and wasp larvae. Breeds in wooded habitats.,"Images show soaring bird with long neck, small head, and variable plumage."
86,Oriental Magpie-Robin,Copsychus saularis,Muscicapidae,Songbird,Least Concern (LC),Schedule IV,Resident,দোয়েল (Doel),19–21 cm,"The Oriental Magpie-Robin is a small passerine bird with striking black and white plumage. Males are glossy black above with a white belly and wing patch, while females are greyish-black with duller tones. It is known for its melodious, varied song and is often found in gardens, forests, and urban areas. It feeds on insects and occasionally fruits.",Males are glossy black above with white underparts and wing patch; more striking plumage.,"Females are greyish-black above, duller overall, with less contrast between plumage colors.","Rich, melodious, varied song; whistles and mimicry of other birds.","Widely distributed across South Asia and Southeast Asia, including India, Bangladesh, Nepal, Sri Lanka, Myanmar, Thailand, and Malaysia. Common in West Bengal’s gardens, villages, and forest edges.",,"Several subspecies, including C. s. saularis (India), C. s. musicus (Malaysia).","Black Drongo (Dicrurus macrocercus), Pied Bushchat (Saxicola caprata).",National bird of Bangladesh; highly territorial during breeding season; nests in tree hollows or crevices.,Images show black-and-white songbird perched on branches or singing in gardens.
87,Pied Cuckoo,Clamator jacobinus,Cuculidae,Cuckoo,Least Concern (LC),Schedule IV,Migratory,চাতক (Chātāk),33–38 cm,"The Pied Cuckoo, also called the Jacobin Cuckoo, is a medium-sized black-and-white cuckoo with a distinctive crest. It is a brood parasite, laying eggs in the nests of other birds such as babblers and bulbuls. Its arrival in northern India is associated with the monsoon rains, giving it cultural significance as the “rain bird.”",Males and females are almost indistinguishable; males may call more prominently during breeding.,"Females are generally smaller than males, with similar plumage.","Harsh, repeated “pee-pee-pee” calls.","Found across much of India, particularly in southern, central, and northern regions. Southern populations are resident year-round, while northern populations migrate to Africa for winter.",,"Clamator jacobinus jacobinus, C. j. pica, C. j. serratus.",Common Hawk-Cuckoo (Hierococcyx varius) – differs in plumage and call.,Strongly tied to folklore and monsoon traditions; parasitic breeder in babbler nests.,"Images show black-and-white cuckoo with crest, perched on branches."
88,Paddyfield Pipit,Anthus rufulus,Motacillidae,Pipit,Least Concern (LC),Schedule-II,Resident,খেত চড়াই ,15 cm,"The Paddyfield Pipit is a sparrow-sized, brown bird with a compact body, a large head, and a short tail. It has streaked upperparts and breast, a pale supercilium (eyebrow), and a bi-colored bill. This species is a common resident of open habitats like wetlands, fields, and cultivation across southern Asia and the Philippines. ","Visually identical, as there is no significant sexual dimorphism in their plumage","Visually identical, as there is no significant sexual dimorphism in their plumage",,"The Paddyfield Pipit is resident across most parts of India, excluding the northwest, north, and extreme southwest.",,"Anthus rufulus waitei
Anthus rufulus rufulus
Anthus rufulus malayensis
Anthus rufulus lugubris
Anthus rufulus albidus
Anthus rufulus medius",,,
89,Painted Stork,Mycteria leucocephala,Ciconiidae,Stork,Near Threatened (NT),Schedule-II,Resident,সোনাজঙ্ঘা ,93-102 cm,"Painted Stork is a large, white-plumed wading bird with a long, heavy, yellow, down-curved bill, an orange-red head, pink legs, and a striking black band across its breast. It gets its name from the bright pink feathers on its wingtips (tertials).","Males are generally larger and heavier than females, a difference known as sexual size dimorphism. ",Females are typically smaller.,,"Painted Storks are found in nearly all Indian states with freshwater wetlands, preferring the plains and avoiding dense forests, arid regions, and high-altitude areas.",,Monotype,,,
